ventana,marcas,anuncios_vistos,anuncios_nuevos,descartados_por_dedup,llamadas_flash,tok_prefijo_total,usd_flash_por_corrida,usd_pro_por_corrida,usd_por_corrida,usd_modelo_mes,usd_infra_mes,usd_total_mes,usd_ingenuo_mes_sin_dedup_ni_cache,factor_ahorro,ingreso_mes,margen_bruto_usd,margen_bruto_pct,costo_por_anuncio_nuevo_usd,costo_por_suscriptor_mes,breakeven_suscriptores
off-peak,1000,60000,7200,52800,180,1440000,1.197576,2.0592,3.2567760000000003,14.101840080000002,60.0,74.10184008,62.64297600000001,4.44218454078512,2370.0,2295.89815992,96.87334008101266,0.00016633,2.470061336,1
peak,1000,60000,7200,52800,180,1440000,2.395152,4.1184,6.513552000000001,28.203680160000005,60.0,88.20368016,125.28595200000002,4.44218454078512,2370.0,2281.79631984,96.27832573164557,0.00033266,2.940122672,2
